method,angle,source_index,host,route_mass,ablation_impact
standard_anchor_no_geo,-60.0,9566,0,0.024769829586148262,0.04478466510772705
standard_anchor_no_geo,-60.0,7017,0,0.026258045807480812,0.012034416198730469
standard_anchor_no_geo,-60.0,6281,0,0.051428355276584625,0.0706336498260498
standard_anchor_no_geo,-60.0,7300,0,0.06315071135759354,0.031015127897262573
standard_anchor_no_geo,-60.0,3438,0,0.007728132884949446,0.011311769485473633
standard_anchor_no_geo,-60.0,4074,0,0.017883973196148872,-0.0015688836574554443
standard_anchor_no_geo,-60.0,6920,0,0.01743490621447563,0.032002925872802734
standard_anchor_no_geo,-60.0,2813,0,0.008537130430340767,-0.0030039548873901367
standard_anchor_no_geo,-60.0,1334,0,0.026644321158528328,0.026794910430908203
standard_anchor_no_geo,-60.0,3526,0,0.041617799550294876,0.006070882081985474
standard_anchor_no_geo,-60.0,1910,0,0.030492613092064857,0.01442253589630127
standard_anchor_no_geo,-60.0,500,0,0.028177304193377495,-0.043801069259643555
standard_anchor_no_geo,-60.0,1808,0,0.026891373097896576,-0.023982524871826172
standard_anchor_no_geo,-60.0,9165,0,0.026790432631969452,0.007294893264770508
standard_anchor_no_geo,-60.0,8192,0,0.0352521687746048,0.004052102565765381
standard_anchor_no_geo,-60.0,9066,0,0.013509788550436497,0.004181861877441406
standard_anchor_no_geo,-60.0,5478,0,0.04771365225315094,0.1193845272064209
standard_anchor_no_geo,-60.0,8608,0,0.051060523837804794,0.05596113204956055
standard_anchor_no_geo,-60.0,1994,0,0.011279236525297165,0.003255188465118408
standard_anchor_no_geo,-60.0,4608,0,0.04741496965289116,0.12023472785949707
standard_anchor_no_geo,-60.0,1971,0,0.02296525053679943,0.0070299506187438965
standard_anchor_no_geo,-60.0,9408,0,0.06501825898885727,-0.07487177848815918
standard_anchor_no_geo,-60.0,6088,0,0.020504387095570564,0.0070192813873291016
standard_anchor_no_geo,-60.0,5053,0,0.04261748120188713,0.0671696662902832
standard_anchor_no_geo,-60.0,9631,0,0.03365042433142662,-0.0012068748474121094
standard_anchor_no_geo,-60.0,5031,0,0.03568248823285103,-0.016742944717407227
standard_anchor_no_geo,-60.0,4252,0,0.023422468453645706,0.0010110139846801758
standard_anchor_no_geo,-60.0,2570,0,0.05954347178339958,-0.0015822649002075195
standard_anchor_no_geo,-60.0,2978,0,0.03117864951491356,-0.012727737426757812
standard_anchor_no_geo,-60.0,127,0,0.03690284118056297,0.00808417797088623
standard_anchor_no_geo,-60.0,7154,0,0.05597062408924103,0.08407330513000488
standard_anchor_no_geo,-60.0,9903,0,0.0187430027872324,0.015231609344482422
standard_anchor_no_geo,-60.0,7615,0,0.06305228173732758,0.15891742706298828
standard_anchor_no_geo,-60.0,4057,0,0.017486488446593285,0.009269118309020996
standard_anchor_no_geo,-60.0,2655,0,0.009547241032123566,0.008021116256713867
standard_anchor_no_geo,-60.0,6332,0,0.04095308855175972,-0.019582033157348633
standard_anchor_no_geo,-60.0,3439,0,0.04161813110113144,-0.033574700355529785
standard_anchor_no_geo,-60.0,9576,0,0.036910559982061386,0.02826884388923645
standard_anchor_no_geo,-60.0,9285,0,0.04074445739388466,0.06468462944030762
standard_anchor_no_geo,-60.0,515,0,0.029180219396948814,-0.023612499237060547
standard_anchor_no_geo,-60.0,8448,0,0.007271918933838606,0.0015518665313720703
standard_anchor_no_geo,-60.0,5092,0,0.009215187281370163,0.01253652572631836
standard_anchor_no_geo,-60.0,8438,0,0.05043576657772064,0.12316322326660156
standard_anchor_no_geo,-60.0,9606,0,0.024252817034721375,0.006560802459716797
standard_anchor_no_geo,-60.0,2722,0,0.025640541687607765,-0.014950275421142578
standard_anchor_no_geo,-60.0,6458,0,0.02904931828379631,0.033810317516326904
standard_anchor_no_geo,-60.0,1744,0,0.027790702879428864,0.017383098602294922
